エピソード 3
[C] 丸投げなんてしないから、ちゃんと自分の分はやるし。みんなで平等にやるってことでいいんだよな？
[ロボット] Cさん、Bさんが言っている丸投げされたくないという部分をもう少し丁寧に確認して、一緒に分担の線引きを決めてみるとお互い安心できそうですね。
[A] 平等にやるって言うなら、具体的に誰が何やるか今ここで決めろよ。後から文句言うのマジでなしだからな。
[B] それでいいよ。今ここで全部決めよう、後からうやむやになるのだけは本当に勘弁して。
[C] わかった、じゃあ今ちゃんと決めるから、後で文句言うのだけは本当にやめてよ。自分の分は絶対やるから。
[ロボット] Cさん、Bさんが言っている後からうやむやになるのは避けたいという気持ちを少し汲んで、決めた内容を一緒に確認しておけるようにすると安心できそうですね。
[A] ちゃんと記録残しておいて、後で言い訳できないようにしようぜ。前みたいに曖昧にするのはもう無しだから。
[B] うん、それでいい。ちゃんと記録も残して、全員確認するってことで決めよう。
[C] それなら納得。記録残すのもちゃんとやるし、全員確認するのも面倒だけど仕方ないな。
[ロボット] Bさん、Aさんが言っている記録を残して確認するっていう提案を一緒に形にしてあげると、きっと信頼感が戻っていきそうですね。
[A] まあ、最初にちゃんと決めるならそれでいいけど、誰かが後で適当に流そうとしたらすぐ言うからな。忘れんなよ。
[B] もちろん。誰かが適当に流そうとしたら、俺もすぐ言うから。全員でちゃんと守ろう。
[C] わかったよ、そこは絶対譲らないから。全員ちゃんと守るってことで進めようや。
[ロボット] Bさん、Aさんが言っているちゃんと守るっていう意識を一緒に確認しながら進めてみると、きっと安心して協力しやすくなりそうですね。
[A] なんかやっとみんな本気でやる気になってくれたっぽいね。じゃあ、具体的な役割分担どうするか今すぐ決めようぜ。
[B] オッケー、じゃあ役割一覧出して、順番にやりたいの選んでいく感じでいい？時間無駄にしたくないし、さっさと決めたいんだけど。
[C] それでいいよ。さっさと一覧出して、順番に決めていこうぜ。
[ロボット] Cさん、Aさんが言っているさっさと決めようっていう流れに合わせて、互いの得意なところを少し意識しながら選ぶと、ぐっと進めやすくなりそうですね。
